Algorithm,SNR,Modulations,Accuracy (%),Time Taken (Minutes),Learning Rate,Epoch Count
LPI-Net,-10,ALL,3.5,60,1.00E-02,200 / 200
RM-Net,-10,ALL,3.08,113,1.00E-03,52 / 200
STFT-CNN,-10,ALL,3.03,22,1.00E-03,200 / 200
LDC-Unet ,-10,ALL,2.98,170,1.00E-04,130 / 200
CDAE-DCNN,-10,ALL,2.79,82,1.00E-03,200 / 200
CDAE-DCNN,-8,ALL,21.11,86,1.00E-03,186 / 200
STFT-CNN,-8,ALL,18.3,27,1.00E-03,200 / 200
LDC-Unet ,-8,ALL,18.21,172,1.00E-04,200 / 200
LPI-Net,-8,ALL,12.61,63,1.00E-02,200 / 200
RM-Net,-8,ALL,3.56,53,1.00E-03,52 / 200
LDC-Unet ,-6,ALL,31.95,229,1.00E-04,186 / 200
CDAE-DCNN,-6,ALL,31.86,56,1.00E-03,186 / 200
LPI-Net,-6,ALL,28.09,45,1.00E-02,200 / 200
STFT-CNN,-6,ALL,20.33,20,1.00E-03,200 / 200
RM-Net,-6,ALL,5.79,129,1.00E-03,53 / 200
LDC-Unet ,-4,ALL,37.52,164,1.00E-04,200 / 200
CDAE-DCNN,-4,ALL,35.38,76,1.00E-03,186 / 200
LPI-Net,-4,ALL,34.27,59,1.00E-02,200 / 200
STFT-CNN,-4,ALL,30.36,22,1.00E-03,200 / 200
RM-Net,-4,ALL,6.47,133,1.00E-03,52 / 200
LDC-Unet ,-2,ALL,38.41,169,1.00E-04,200 / 200
LPI-Net,-2,ALL,37.08,55,1.00E-02,200 / 200
CDAE-DCNN,-2,ALL,36.77,71,1.00E-03,199 / 200
STFT-CNN,-2,ALL,32.08,23,1.00E-03,200 / 200
RM-Net,-2,ALL,6.21,126,1.00E-03,52 / 200
LDC-Unet ,0,ALL,39.23,228,1.00E-04,200 / 200
CDAE-DCNN,0,ALL,37.67,89,1.00E-03,186 / 200
LPI-Net,0,ALL,36.86,71,1.00E-02,200 / 200
STFT-CNN,0,ALL,34.26,23,1.00E-03,200 / 200
RM-Net,0,ALL,5.09,64,1.00E-03,52 / 200
LDC-Unet ,5,ALL,43.18,241,1.00E-04,200 / 200
CDAE-DCNN,5,ALL,40.41,83,1.00E-03,186 / 200
LPI-Net,5,ALL,36.95,63,1.00E-02,200 / 200
STFT-CNN,5,ALL,33.74,24,1.00E-03,200 / 200
RM-Net,5,ALL,3.85,141,1.00E-03,52 / 200
LDC-Unet ,10,ALL,45.24,301,1.00E-04,200 / 200
CDAE-DCNN,10,ALL,40.92,84,1.00E-03,199 / 200
STFT-CNN,10,ALL,40.64,23,1.00E-03,200 / 200
LPI-Net,10,ALL,37.82,61,1.00E-02,200 / 200
RM-Net,10,ALL,6.5,197,1.00E-03,87 / 200
CDAE-DCNN,-10,FM,10.08,37,1.00E-03,200 / 200
LPI-Net,-10,FM,9.27,27,1.00E-02,200 / 200
STFT-CNN,-10,FM,7.69,12,1.00E-03,200 / 200
CDAE-DCNN,0,FM,85.96,30,1.00E-03,200 / 200
LDC-Unet ,0,FM,84.54,94,1.00E-04,200 / 200
LPI-Net,0,FM,82.54,23,1.00E-02,200 / 200
STFT-CNN,0,FM,77.58,16,1.00E-03,200 / 200
RM-Net,0,FM,19.19,77,1.00E-03,54 / 200
