SNR,STFT-CNN,LPI-Net,CDAE-DCNN,LDC-Unet,ViT
10,45.75757576,46.57575758,45,70.28787879,26.96969697
5,41.04545455,43.46969697,43.68181818,66.5,25.81818182
0,36.59090909,40.54545455,40.37878788,56.12,26.84848485
-2,38.27272727,39.96969697,40.13636364,50.95454545,29.1969697
-4,37.3030303,38.31818182,38.74242424,42.09090909,23.40909091
-6,35.8030303,37.81818182,38.39393939,42.15151515,25.07575758
-8,35.04545455,37.10606061,38.18181818,42.37878788,22.3030303
-10,33.33333333,34.8030303,37.89393939,42.33333333,3.03030303
-12,32.34848485,33.16666667,37.09090909,41.25757576,3.03030303
-14,31.92424242,29.66666667,35.92424242,41.75757576,3.03030303
-16,27.8030303,26.37878788,32.43939394,41.18181818,3.03030303
-18,26.1969697,18.25757576,29.72727273,41.21212121,2.954545455
-20,23.12121212,12.95454545,25.03030303,41.06060606,3.03030303
