SNR,STFT-CNN,LPI-Net,CDAE-DCNN,LDC-Unet,ViT
10,88.80769231,91.30769231,91.11538462,92.5,91.96153846
5,89.19230769,91,91.65384615,91.92307692,91.30769231
0,85.92307692,91.53846154,91.88461538,91.84615385,91.46153846
-2,86.42307692,91.11538462,92.19230769,91.92307692,91.42307692
-4,85.88461538,90.73076923,92.30769231,92.5,92
-6,86.19230769,90.11538462,91.84615385,92.15384615,92.53846154
-8,84.42307692,90.11538462,91.26923077,92.34615385,91.46153846
-10,85.19230769,88.65384615,91.03846154,92.61538462,91.5
-12,83.46153846,86.23076923,90.30769231,92.07692308,89.34615385
-14,79.19230769,83.38461538,88.73076923,91.92307692,90.03846154
-16,78.23076923,75.88461538,86.03846154,91.76923077,88.38461538
-18,71.53846154,66.15384615,80.88461538,91.65384615,84.19230769
-20,60.15384615,47.19230769,67.07692308,90.80769231,75.03846154
