SNR,STFT-CNN,LPI-Net,CDAE-DCNN,LDC-Unet,ViT
10,82.26923077,89.34615385,90.80769231,91.46153846,58.69230769
5,80.34615385,88.07692308,90.80769231,91.34615385,55.92307692
0,80.88461538,87.92307692,90.34615385,92.23076923,51.57692308
-2,76.57692308,87.65384615,90.03846154,91.96153846,46.96153846
-4,79.76923077,86.57692308,90.73076923,91.65384615,44.15384615
-6,77.11538462,85.61538462,90.15384615,91.92307692,48.03846154
-8,75.57692308,84.42307692,89.38461538,91.76923077,48.30769231
-10,74.46153846,80.96153846,88.07692308,91.23076923,40.38461538
-12,73.61538462,76.61538462,87.46153846,91.5,21.07692308
-14,67.80769231,69.65384615,85.5,91.42307692,15.96153846
-16,68,59.88461538,81.92307692,91.88461538,12.5
-18,59.92307692,40,75.46153846,90.84615385,9.307692308
-20,52.57692308,12.46153846,63.84615385,90.46153846,8
