Algorithm,SNR,Modulations,Accuracy (%),Time Taken (Minutes),Learning Rate,Epoch Count
LDC-Unet,-20,ALL,41.06060606,15367.41649,0.0001,200 / 200
LDC-Unet,-18,ALL,41.21212121,15363.74648,0.0001,200 / 200
LDC-Unet,-16,ALL,41.18181818,14809.91805,0.0001,193 / 200
LDC-Unet,-14,ALL,41.75757576,14054.74659,0.0001,183 / 200
LDC-Unet,-12,ALL,41.25757576,13970.92632,0.0001,181 / 200
LDC-Unet,-10,ALL,42.33333333,15629.92157,0.0001,200 / 200
LDC-Unet,-8,ALL,42.37878788,15320.57468,0.0001,200 / 200
LDC-Unet,-6,ALL,42.15151515,15316.84216,0.0001,200 / 200
LDC-Unet,-4,ALL,42.09090909,15314.92533,0.0001,200 / 200
LDC-Unet,-2,ALL,50.95454545,15302.3328,0.0001,200 / 200
LDC-Unet,0,ALL,56.12,17760.0,0.0001,200 / 200
LDC-Unet,5,ALL,66.5,17949.8216,0.0001,200 / 200
LDC-Unet,10,ALL,70.28787879,21989.23362,0.0001,200 / 200
LDC-Unet_ALL,-20,ALL,41.84848485,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-18,ALL,42.40909091,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-16,ALL,43.59090909,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-14,ALL,44.18181818,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-12,ALL,44.59090909,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-10,ALL,46.46969697,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-8,ALL,48.34848485,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-6,ALL,51.01515152,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-4,ALL,55.16666667,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,-2,ALL,59.53030303,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,0,ALL,62.6969697,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,5,ALL,68.42424242,186850.2206,0.0001,200 / 200
LDC-Unet_ALL,10,ALL,71.59090909,186850.2206,0.0001,200 / 200
LDC-Unet,-20,FM,90.46153846,5993.345483,0.0001,189 / 200
LDC-Unet,-18,FM,90.84615385,6341.629574,0.0001,200 / 200
LDC-Unet,-16,FM,91.88461538,5932.87803,0.0001,186 / 200
LDC-Unet,-14,FM,91.42307692,4951.402542,0.0001,156 / 200
LDC-Unet,-12,FM,91.5,5624.028447,0.0001,177 / 200
LDC-Unet,-10,FM,91.23076923,6360.365411,0.0001,200 / 200
LDC-Unet,-8,FM,91.76923077,6353.32497,0.0001,200 / 200
LDC-Unet,-6,FM,91.92307692,5303.873518,0.0001,167 / 200
LDC-Unet,-4,FM,91.65384615,6357.911904,0.0001,200 / 200
LDC-Unet,-2,FM,91.96153846,6343.944877,0.0001,200 / 200
LDC-Unet,0,FM,92.23076923,5560.027002,0.0001,175 / 200
LDC-Unet,5,FM,91.34615385,6361.395898,0.0001,200 / 200
LDC-Unet,10,FM,91.46153846,5952.669744,0.0001,189 / 200
LDC-Unet_ALL,-20,FM,90.80769231,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-18,FM,91.65384615,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-16,FM,91.76923077,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-14,FM,91.92307692,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-12,FM,92.07692308,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-10,FM,92.61538462,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-8,FM,92.34615385,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-6,FM,92.15384615,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-4,FM,92.5,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,-2,FM,91.92307692,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,0,FM,91.84615385,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,5,FM,91.92307692,74693.05413,0.0001,200 / 200
LDC-Unet_ALL,10,FM,92.5,74693.05413,0.0001,200 / 200
LPI-Net,-20,ALL,12.95454545,2226.141285,0.01,200 / 200
LPI-Net,-18,ALL,18.25757576,2148.216501,0.01,200 / 200
LPI-Net,-16,ALL,26.37878788,2359.496642,0.01,192 / 200
LPI-Net,-14,ALL,29.66666667,2174.252157,0.01,200 / 200
LPI-Net,-12,ALL,33.16666667,2217.372205,0.01,200 / 200
LPI-Net,-10,ALL,34.8030303,2115.222604,0.01,200 / 200
LPI-Net,-8,ALL,37.10606061,1977.255383,0.01,200 / 200
LPI-Net,-6,ALL,37.81818182,1994.913863,0.01,200 / 200
LPI-Net,-4,ALL,38.31818182,1974.655728,0.01,200 / 200
LPI-Net,-2,ALL,39.96969697,2121.372804,0.01,200 / 200
LPI-Net,0,ALL,40.54545455,2679.365566,0.01,200 / 200
LPI-Net,5,ALL,43.46969697,2253.234547,0.01,200 / 200
LPI-Net,10,ALL,46.57575758,2221.44775,0.01,200 / 200
LPI-Net_ALL,-20,ALL,19.60606061,14683.99009,0.01,200 / 200
LPI-Net_ALL,-18,ALL,29.54545455,14683.99009,0.01,200 / 200
LPI-Net_ALL,-16,ALL,33.98484848,14683.99009,0.01,200 / 200
LPI-Net_ALL,-14,ALL,36.78787879,14683.99009,0.01,200 / 200
LPI-Net_ALL,-12,ALL,38.18181818,14683.99009,0.01,200 / 200
LPI-Net_ALL,-10,ALL,40.07575758,14683.99009,0.01,200 / 200
LPI-Net_ALL,-8,ALL,41.07575758,14683.99009,0.01,200 / 200
LPI-Net_ALL,-6,ALL,42.18181818,14683.99009,0.01,200 / 200
LPI-Net_ALL,-4,ALL,41.92424242,14683.99009,0.01,200 / 200
LPI-Net_ALL,-2,ALL,42.74242424,14683.99009,0.01,200 / 200
LPI-Net_ALL,0,ALL,43.42424242,14683.99009,0.01,200 / 200
LPI-Net_ALL,5,ALL,45.48484848,14683.99009,0.01,200 / 200
LPI-Net_ALL,10,ALL,45.18181818,14683.99009,0.01,200 / 200
LPI-Net,-20,FM,12.46153846,714.4741051,0.01,200 / 200
LPI-Net,-18,FM,40.0,710.6040239,0.01,200 / 200
LPI-Net,-16,FM,59.88461538,702.2877674,0.01,200 / 200
LPI-Net,-14,FM,69.65384615,709.8612065,0.01,200 / 200
LPI-Net,-12,FM,76.61538462,662.1698523,0.01,187 / 200
LPI-Net,-10,FM,80.96153846,729.7548935,0.01,200 / 200
LPI-Net,-8,FM,84.42307692,745.9041569,0.01,196 / 200
LPI-Net,-6,FM,85.61538462,743.9431183,0.01,194 / 200
LPI-Net,-4,FM,86.57692308,765.7828748,0.01,200 / 200
LPI-Net,-2,FM,87.65384615,842.675885,0.01,200 / 200
LPI-Net,0,FM,87.92307692,1304.676749,0.01,200 / 200
LPI-Net,5,FM,88.07692308,1285.578483,0.01,200 / 200
LPI-Net,10,FM,89.34615385,1304.457198,0.01,200 / 200
LPI-Net_ALL,-20,FM,47.19230769,6021.641914,0.01,200 / 200
LPI-Net_ALL,-18,FM,66.15384615,6021.641914,0.01,200 / 200
LPI-Net_ALL,-16,FM,75.88461538,6021.641914,0.01,200 / 200
LPI-Net_ALL,-14,FM,83.38461538,6021.641914,0.01,200 / 200
LPI-Net_ALL,-12,FM,86.23076923,6021.641914,0.01,200 / 200
LPI-Net_ALL,-10,FM,88.65384615,6021.641914,0.01,200 / 200
LPI-Net_ALL,-8,FM,90.11538462,6021.641914,0.01,200 / 200
