Algorithm,SNR,Modulations,Accuracy (%),Time Taken (Minutes),Learning Rate,Epoch Count
CDAE-DCNN,10,ALL,45.0,3385.92484,0.001,186 / 200
CDAE-DCNN,5,ALL,43.68181818,3569.663472,0.001,186 / 200
CDAE-DCNN,0,ALL,40.37878788,2626.643298,0.001,187 / 200
CDAE-DCNN,-2,ALL,40.13636364,1660.049158,0.001,186 / 200
CDAE-DCNN,-4,ALL,38.74242424,1570.646266,0.001,186 / 200
CDAE-DCNN,-6,ALL,38.39393939,1518.643518,0.001,186 / 200
CDAE-DCNN,-8,ALL,38.18181818,1512.330116,0.001,186 / 200
CDAE-DCNN,-10,ALL,37.89393939,1301.835655,0.001,191 / 200
CDAE-DCNN,-12,ALL,37.09090909,1282.986035,0.001,186 / 200
CDAE-DCNN,-14,ALL,35.92424242,1274.343135,0.001,186 / 200
CDAE-DCNN,-16,ALL,32.43939394,1291.524378,0.001,187 / 200
CDAE-DCNN,-18,ALL,29.72727273,1283.696382,0.001,186 / 200
CDAE-DCNN,-20,ALL,25.03030303,1289.438523,0.001,186 / 200
LDC-Unet,10,ALL,70.28787879,21989.23362,0.0001,200 / 200
LDC-Unet,5,ALL,66.5,17949.8216,0.0001,200 / 200
LDC-Unet,0,ALL,56.12,17760.0,0.0001,200 / 200
LDC-Unet,-2,ALL,50.95454545,15302.3328,0.0001,200 / 200
LDC-Unet,-4,ALL,42.09090909,15314.92533,0.0001,200 / 200
LDC-Unet,-6,ALL,42.15151515,15316.84216,0.0001,200 / 200
LDC-Unet,-8,ALL,42.37878788,15320.57468,0.0001,200 / 200
LDC-Unet,-10,ALL,42.33333333,15629.92157,0.0001,200 / 200
LDC-Unet,-12,ALL,41.25757576,13970.92632,0.0001,181 / 200
LDC-Unet,-14,ALL,41.75757576,14054.74659,0.0001,183 / 200
LDC-Unet,-16,ALL,41.18181818,14809.91805,0.0001,193 / 200
LDC-Unet,-18,ALL,41.21212121,15363.74648,0.0001,200 / 200
LDC-Unet,-20,ALL,41.06060606,15367.41649,0.0001,200 / 200
LPI-Net,10,ALL,46.57575758,2221.44775,0.01,200 / 200
LPI-Net,5,ALL,43.46969697,2253.234547,0.01,200 / 200
LPI-Net,0,ALL,40.54545455,2679.365566,0.01,200 / 200
LPI-Net,-2,ALL,39.96969697,2121.372804,0.01,200 / 200
LPI-Net,-4,ALL,38.31818182,1974.655728,0.01,200 / 200
LPI-Net,-6,ALL,37.81818182,1994.913863,0.01,200 / 200
LPI-Net,-8,ALL,37.10606061,1977.255383,0.01,200 / 200
LPI-Net,-10,ALL,34.8030303,2115.222604,0.01,200 / 200
LPI-Net,-12,ALL,33.16666667,2217.372205,0.01,200 / 200
LPI-Net,-14,ALL,29.66666667,2174.252157,0.01,200 / 200
LPI-Net,-16,ALL,26.37878788,2359.496642,0.01,192 / 200
LPI-Net,-18,ALL,18.25757576,2148.216501,0.01,200 / 200
LPI-Net,-20,ALL,12.95454545,2226.141285,0.01,200 / 200
STFT-CNN,10,ALL,45.75757576,928.260973,0.001,200 / 200
STFT-CNN,5,ALL,41.04545455,947.4488647,0.001,200 / 200
STFT-CNN,0,ALL,36.59090909,1128.570275,0.001,200 / 200
STFT-CNN,-2,ALL,38.27272727,952.0137305,0.001,200 / 200
STFT-CNN,-4,ALL,37.3030303,951.7069755,0.001,200 / 200
STFT-CNN,-6,ALL,35.8030303,961.5671315,0.001,200 / 200
STFT-CNN,-8,ALL,35.04545455,940.2891209,0.001,200 / 200
STFT-CNN,-10,ALL,33.33333333,1100.563471,0.001,200 / 200
STFT-CNN,-12,ALL,32.34848485,974.1868336,0.001,200 / 200
STFT-CNN,-14,ALL,31.92424242,942.0219066,0.001,200 / 200
STFT-CNN,-16,ALL,27.8030303,1110.461693,0.001,200 / 200
STFT-CNN,-18,ALL,26.1969697,888.6004789,0.001,200 / 200
STFT-CNN,-20,ALL,23.12121212,986.8442335,0.001,200 / 200
ViT,10,ALL,26.96969697,59.04,0.0001,200 / 200
ViT,5,ALL,25.81818182,58.82,0.0001,200 / 200
ViT,0,ALL,26.84848485,58.41,0.0001,200 / 200
ViT,-2,ALL,29.1969697,58.57,0.0001,200 / 200
ViT,-4,ALL,23.40909091,58.31,0.0001,200 / 200
ViT,-6,ALL,25.07575758,58.69,0.0001,200 / 200
ViT,-8,ALL,22.3030303,58.56,0.0001,200 / 200
ViT,-10,ALL,3.03030303,58.47,0.0001,200 / 200
ViT,-12,ALL,3.03030303,57.62,0.0001,200 / 200
ViT,-14,ALL,3.03030303,117.89,0.0001,200 / 200
ViT,-16,ALL,3.03030303,55.38,0.0001,186 / 200
ViT,-18,ALL,2.954545455,59.22,0.0001,200 / 200
ViT,-20,ALL,3.03030303,58.99,0.0001,200 / 200
